代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
5386,青雲,櫃,電腦及週邊設備業,1.18,25.1,41.2,14.5,15.8,6.7,16.1,33.2,49.8,10,0.85,46.1,0.86,6.75,15.1
5392,能率,櫃,光電業,1.34,78.2,30.7,1.11,1.28,-0.78,,-8.71,48.5,19,0.45,55.2,2.95,30.7,0.55
5398,慕康生醫,櫃,其他業,0.67,10,47.2,-1.78,-1.25,3.43,107,-2.15,14.5,-3,0,46.9,5.73,23,0.21
5403,中菲,櫃,資訊服務業,0.54,94.1,43.8,24.8,24.9,6.17,14.1,12.9,43.5,25,5.27,21.4,7.09,4.34,10.9
5410,國眾,櫃,資訊服務業,0.87,31,40,14.6,12.8,4.33,15.5,29,51.8,15,4.42,35.5,6.7,21.8,-4.9
5425,台半,櫃,半導體業,1.22,152,46.7,14.1,11.8,1.79,36,28.8,52.8,16,3.51,37.8,10.7,16.7,-3.19
5426,振發,櫃,電腦及週邊設備業,1.21,33.1,53.2,5.06,4.78,-0.78,19.7,32.9,25,1,2.17,49.5,3.41,16.2,1
5432,新門,櫃,綠能環保,1.08,25.8,35.3,8.68,8.04,1.73,111,-6.53,11.3,3,0,50.7,0.79,51.7,4.5
5438,東友,櫃,電腦及週邊設備業,1.14,30.2,28,2.11,2.12,-0.15,20.2,15.4,22.7,25,2.43,64.8,1.88,75.8,0.64
5439,高技,櫃,電子零組件業,1.32,304,37.6,16.1,15.7,6.67,62,120,68.1,23,0.67,57.8,9.08,8.11,-15.8
5443,均豪,櫃,半導體業,1.45,189,46.7,10.4,9.18,3.49,47.9,11.9,53.1,12,1.74,52.5,5.99,27.9,-5.78
5450,南良,櫃,其他業,0.82,16.1,36.1,6.72,6.12,-1.04,22.3,-8.06,51.3,4,3.8,29.7,0.14,75.3,1.22
5452,佶優,櫃,其他電子業,1.22,38.1,34.1,3.58,3.31,0.8,82.6,-9.51,42.1,7,0.98,48,6.97,24,0.75
5455,昇益,櫃,建材營造業,0.71,19.8,34.2,24.9,29.8,18.6,4.48,61.3,58.9,-28,0,43.7,0.05,44.4,27
5457,宣德,櫃,電子零組件業,1.12,78.3,34.9,12.5,11.4,0.58,17.6,11.7,62.2,6,2.9,38.6,34.1,21,-3.8
5460,同協,櫃,電子零組件業,0.95,8.76,52.8,-0.85,-0.09,-1.9,,-14.9,10.5,-4,0,45,2.85,4.33,-1.77
5464,霖宏,櫃,電子零組件業,0.65,16.5,30.2,11.4,9.38,-19.9,,-16.4,73.2,4,4.31,33.9,0.55,9.95,1.85
5465,富驊,櫃,電腦及週邊設備業,1.15,51.6,41.2,12.4,12.2,0.58,22.8,40.6,47.7,7,5.15,47.3,1.39,67.7,0.67
5468,凱鈺,櫃,半導體業,0.82,9.07,31.2,-5.93,-6.01,-2.31,,-10.6,58.2,-27,0,39.8,0.18,41.6,-4.82
5474,聰泰,櫃,電腦及週邊設備業,1.32,74.5,35,15,14.4,2.4,30.1,24.8,26.3,13,2.13,55.2,3.11,31,2.86
5475,德宏,櫃,電子零組件業,1.04,70.3,28.5,-25,-22.6,-1.81,,43.1,62.1,-13,0,64.5,0.91,1.99,-1.44
5478,智冠,櫃,文化創意業,0.66,162,42.2,11.7,12.1,4.18,14,-8.69,47.2,27,7.21,29.4,20.4,40.1,-0.46
5481,新華,櫃,其他業,0.6,16.3,35.3,-1.43,-1.52,-2.19,,1.06,23.2,-3,0,56,28.8,10.5,1.08
5483,中美晶,櫃,半導體業,1.19,795,44.7,20.8,18,1.56,23.4,-4.14,57.5,12,5.24,41.9,17.9,13.7,-9.85
5487,通泰,櫃,半導體業,0.52,7.61,38.9,-2.04,-2.07,-2.6,,-13.2,8.38,-3,0,33.5,0.67,45.6,2.29
5488,松普,櫃,電子零組件業,1.01,9.3,42.3,2.12,1.79,1.58,84.6,-10.7,34.2,-6,0,42.7,2.43,0.05,-0.88
5489,彩富,櫃,其他電子業,0.23,43,34.2,8.69,8.25,0.48,21,-8.09,21,21,4.34,41.3,0.54,32.3,2.02
